,Unnamed: 0,id,playerName,situation,teamId,playerId,x,y,min,period,isOwnGoal,isBlocked,isOnTarget,isSavedOffLine,isFromInsideBox,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,box,homeTeamId,awayTeamId,homeTeamName,awayTeamName,homeScore,awayScore,matchId,matchDate,teamColor,teamColorDark,onGoalShot.x,onGoalShot.y,onGoalShot.zoomRatio,minAdded,,min1,Unnamed: 2_level_0_Squad,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 2_Player,SCA 2_Event,onGoalShot.x.rescaled,onGoalShot.y.rescaled,goalxZone,goalyZone,goalZone_Left Bottom,goalZone_Left Top,goalZone_Middle Bottom,goalZone_Middle Top,goalZone_Right Bottom,goalZone_Right Top,predicted_xGOTzone,eventType_AttemptSaved,eventType_Goal,eventType_Miss,eventType_Post,shotType_Header,shotType_LeftFoot,shotType_OtherBodyParts,shotType_RightFoot,SCA 1_Event_Fouled,SCA 1_Event_Interception,SCA 1_Event_Pass (Dead),SCA 1_Event_Pass (Live),SCA 1_Event_Shot,SCA 1_Event_Tackle,SCA 1_Event_Take-On,jpsxg,jpsxg - psxg,goal_loc_jpsxg,goal_loc_jpsxg - jpsxg
64,,2709604729,Mohamed Salah,RegularPlay,8650,292462,99.0175438595,30.304,65,SecondHalf,False,False,True,False,True,,,35.3725,0.4045263138,0.41,0.82,InsideBox,9902,8650,Ipswich Town,Liverpool,0,2,4506264,2024-08-17T11:30:00Z,#911712,#911712,0.636904761904761,0.107017543333333,1.0,,15,65,Liverpool,Goal,7.0,Left Foot,,Virgil van Dijk,Ryan Gravenberch,Pass (Live),0.636904761904761,0.107017543333333,Left,Bottom,1,0,0,0,0,0,0.26270142444293304,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5348012007333454,-0.2851987992666546,0.5360281821889641,0.0012269814556187253
65,,2709608701,Mohamed Salah,RegularPlay,8650,292462,89.2,38.200238097,71,SecondHalf,False,False,True,False,True,101.1120689658,35.22,35.75375,0.3659999982,0.21,0.26,InsideBox,9902,8650,Ipswich Town,Liverpool,0,2,4506264,2024-08-17T11:30:00Z,#911712,#911712,0.536044973544974,0.0968253963492064,1.0,,17,71,Liverpool,Saved,19.0,Left Foot,,Dominik Szoboszlai,Alexis Mac Allister,Pass (Live),0.536044973544974,0.0968253963492064,Left,Bottom,1,0,0,0,0,0,0.17917896385720455,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.3020301953811,0.04203019538109998,0.3114108161049205,0.00938062072382051
66,,2709627487,Mohamed Salah,RegularPlay,8650,292462,97.4736842099,23.1584713419,90,SecondHalf,False,False,True,False,True,104.1465517242,31.63625,33.695,1.0145263108,0.06,0.05,InsideBox,9902,8650,Ipswich Town,Liverpool,0,2,4506264,2024-08-17T11:30:00Z,#911712,#911712,1.08068783068783,0.268393203915344,1.0,4.0,21,90+4,Liverpool,Saved,11.0,Left Foot,Volley,,,,1.08068783068783,0.268393203915344,Middle,Bottom,0,0,1,0,0,0,0.22912231229353447,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.29830041847526334,0.24830041847526335,0.2680380723545342,-0.030262346120729144
68,,2713481683,Mohamed Salah,RegularPlay,8650,292462,93.0,18.3941401295,68,SecondHalf,False,False,True,False,True,104.051724138,32.6275,33.16125,1.1365263102,0.04,0.03,InsideBox,8650,9937,Liverpool,Brentford,2,0,4506278,2024-08-25T15:30:00Z,#911712,#911712,1.22189153439154,0.300668336031746,1.0,,24,68.0,Liverpool,Saved,18.0,Left Foot,,Dominik Szoboszlai,Trent Alexander-Arnold,Pass (Live),1.22189153439154,0.300668336031746,Middle,Bottom,0,0,1,0,0,0,0.1866657809519649,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.1473246986227281,0.1173246986227281,0.12521063073138505,-0.022114067891343042
69,,2713483575,Mohamed Salah,RegularPlay,8650,292462,94.8684210512,25.4759375,70,SecondHalf,False,False,True,False,True,,,35.9825,0.2439999988,0.43,0.58,InsideBox,8650,9937,Liverpool,Brentford,2,0,4506278,2024-08-25T15:30:00Z,#911712,#911712,0.4755291005291,0.0645502642328042,1.0,,25,70.0,Liverpool,Goal,12.0,Left Foot,,Luis Díaz,Alexis Mac Allister,Pass (Live),0.4755291005291,0.0645502642328042,Left,Bottom,1,0,0,0,0,0,0.22310983173299787,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.4265485711395821,-0.15345142886041785,0.4428229455217857,0.016274374382203582
70,,2716459311,Mohamed Salah,RegularPlay,8650,292462,91.2,28.37095238,56,SecondHalf,False,False,True,False,True,,,31.48375,0.2054736832,0.2,0.77,InsideBox,10260,8650,Manchester United,Liverpool,0,3,4506289,2024-09-01T15:00:00Z,#911712,#911712,1.6656746031746,0.0543581172486773,1.0,,8,56.0,Liverpool,Goal,16.0,Left Foot,,Dominik Szoboszlai,Alexis Mac Allister,Pass (Live),1.6656746031746,0.0543581172486773,Right,Bottom,0,0,0,0,1,0,0.19666003065594184,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.381512041441015,-0.388487958558985,0.40146624533419784,0.01995420389318281
73,,2720007157,Mohamed Salah,RegularPlay,8650,292462,100.9224137934,21.1266242072,52,SecondHalf,False,False,True,False,True,104.3362068966,31.56,31.255,0.5714736814,0.07,0.18,InsideBox,8650,10203,Liverpool,Nottingham Forest,0,1,4506298,2024-09-14T14:00:00Z,#911712,#911712,1.72619047619048,0.151183513597884,1.0,,7,52.0,Liverpool,Saved,11.0,Right Foot,,Mohamed Salah,Trent Alexander-Arnold,Pass (Live),1.72619047619048,0.151183513597884,Right,Bottom,0,0,0,0,1,0,0.2796757042520138,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6027763198240002,0.42277631982400016,0.584323369421268,-0.018452950402732204
75,,2720057253,Mohamed Salah,RegularPlay,8650,292462,96.1228070165,16.0820382176,76,SecondHalf,False,False,True,False,True,103.6724137932,31.56,32.55125,0.3274736826,0.02,0.04,InsideBox,8650,10203,Liverpool,Nottingham Forest,0,1,4506298,2024-09-14T14:00:00Z,#911712,#911712,1.3832671957672,0.0866332493650794,1.0,,16,76.0,Liverpool,Saved,18.0,Left Foot,,Dominik Szoboszlai,Ryan Gravenberch,Pass (Live),1.3832671957672,0.0866332493650794,Right,Bottom,0,0,0,0,1,0,0.2341612193945999,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.49597724378112457,0.4559772437811246,0.50333598354463,0.007358739763505484
76,,2723314513,Mohamed Salah,FastBreak,8650,292462,91.2,24.5597452279,13,FirstHalf,False,False,True,False,True,100.732758621,30.7975,31.865,0.4879999976,0.1,0.24,InsideBox,8650,8678,Liverpool,AFC Bournemouth,3,0,4506308,2024-09-21T14:00:00Z,#911712,#911712,1.56481481481482,0.129100528465608,1.0,,4,13,Liverpool,Saved,16.0,Left Foot,,Alexis Mac Allister,Luis Díaz,Pass (Live),1.56481481481482,0.129100528465608,Right,Bottom,0,0,0,0,1,0,0.19465619401922576,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.37904354710319527,0.13904354710319528,0.37848103279836903,-0.0005625143048262338
77,,2723374521,Mohamed Salah,RegularPlay,8650,292462,92.6,21.7571974559,40,FirstHalf,False,False,True,False,True,102.4396551726,31.63625,31.48375,0.2825263144,0.07,0.38,InsideBox,8650,8678,Liverpool,AFC Bournemouth,3,0,4506308,2024-09-21T14:00:00Z,#911712,#911712,1.6656746031746,0.0747424112169312,1.0,,17,40,Liverpool,Saved,16.0,Left Foot,,Ryan Gravenberch,Dominik Szoboszlai,Pass (Live),1.6656746031746,0.0747424112169312,Right,Bottom,0,0,0,0,1,0,0.20568517515526027,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.4112296821601881,0.03122968216018812,0.4254859662541724,0.014256284093984273
