,player,xg_diff_19,xg_diff_20,xg_diff_21,xg_diff_22,xg_diff_23,shots_19,shots_20,shots_21,shots_22,shots_23,total_shots
139,James Milner,-0.015,0.0933,0.135,0.07,0.17,10.0,12.0,10.0,7.0,5.0,44.0
140,Alex Oxlade-Chamberlain,0.182,0.075,-0.0867,0.0833,,40.0,8.0,21.0,7.0,,
141,Maya Yoshida,0.03,,,,,5.0,,,,,
142,Yan Valery,-0.035,,,,,3.0,2.0,2.0,,,
143,Sadio Mané,0.2025,0.1359,0.1016,,,77.0,94.0,98.0,,,
144,Pierre Højbjerg,0.0918,0.0957,0.136,0.1644,0.1633,46.0,14.0,31.0,33.0,19.0,143.0
145,Joël Matip,0.19,0.1,0.1643,-0.0067,,4.0,5.0,35.0,5.0,5.0,54.0
146,Danny Ings,0.1623,0.1946,0.1965,0.1731,0.045,91.0,55.0,48.0,40.0,12.0,246.0
147,Harry Wilson,0.175,,,0.1875,0.1669,56.0,,,18.0,40.0,
148,Douglas Luiz,0.1433,0.0938,0.0475,0.1275,0.235,38.0,26.0,23.0,34.0,44.0,165.0
149,Jack Grealish,0.2,0.1824,0.0731,0.178,0.2,72.0,50.0,45.0,41.0,22.0,230.0
150,Neil Taylor,,,,,,3.0,,,,,
151,Jota,-0.02,,,,,6.0,,,,,
152,Björn Engels,0.09,,,,,8.0,,,,,
153,Pascal Groß,0.1256,0.08,0.1014,0.1784,0.1028,29.0,28.0,23.0,39.0,54.0,173.0
154,Dale Stephens,0.04,,,,,19.0,4.0,1.0,,,
155,Solly March,0.245,0.2575,0.035,0.1358,0.2417,21.0,22.0,20.0,74.0,14.0,151.0
156,Glenn Murray,0.224,,,,,18.0,,,,,
157,Declan Rice,0.13,0.1629,0.1525,0.2037,0.157,31.0,25.0,26.0,35.0,58.0,175.0
158,Pablo Fornals,0.14,0.122,0.1891,0.1114,0.0767,36.0,50.0,43.0,27.0,7.0,163.0
159,Shane Duffy,0.42,,0.034,,,7.0,,22.0,1.0,,
160,Leandro Trossard,0.2009,0.1222,0.19,0.1078,0.2345,41.0,58.0,73.0,55.0,60.0,287.0
161,Lewis Dunk,0.155,0.1421,0.1529,0.0067,0.1642,31.0,32.0,19.0,22.0,33.0,137.0
162,Michail Antonio,0.118,0.1473,0.1693,0.0377,0.1843,67.0,63.0,82.0,39.0,30.0,281.0
163,Robert Snodgrass,0.147,0.04,,,,21.0,4.0,,,,
164,Todd Cantwell,0.1581,,,,,42.0,,5.0,,,
165,Emil Krafth,,0.2133,0.12,,,4.0,7.0,6.0,,4.0,
166,Matt Ritchie,0.2771,-0.02,-0.06,,0.07,25.0,11.0,10.0,,6.0,
167,Isaac Hayden,0.13,-0.04,0.01,,,18.0,16.0,5.0,,,
168,Paul Dummett,0.155,0.17,,,,2.0,3.0,,,1.0,
169,Jamaal Lascelles,0.02,0.1833,0.2125,,-0.06,9.0,15.0,17.0,2.0,6.0,49.0
170,Max Aarons,0.165,,-0.015,,,14.0,,13.0,,2.0,
171,Mario Vrančić,0.11,,,,,14.0,,,,,
172,Grant Hanley,0.045,,0.0775,,,8.0,,20.0,,,
173,Bernard,0.118,0.19,,,,12.0,6.0,,,,
174,Abdoulaye Doucouré,0.1725,0.128,0.1436,0.1062,0.0824,61.0,18.0,34.0,20.0,47.0,180.0
175,Moise Kean,0.0615,,,,,30.0,1.0,,,,
176,Bernardo Silva,0.1567,0.18,0.2011,0.1467,0.212,52.0,28.0,47.0,25.0,34.0,186.0
177,İlkay Gündoğan,0.1017,0.1986,0.1778,0.1705,,31.0,52.0,55.0,53.0,,
178,Aymeric Laporte,0.32,0.08,0.1643,-0.1,-0.02,4.0,6.0,35.0,10.0,1.0,56.0
179,Sergio Agüero,0.2371,0.139,,,,73.0,17.0,,,,
180,Rodri,0.1978,0.0686,0.23,0.1421,0.1409,24.0,31.0,45.0,50.0,62.0,212.0
181,Nicolás Otamendi,0.0471,,,,,15.0,,,,,
182,Christian Benteke,0.0489,0.0776,0.1169,,,41.0,71.0,39.0,,,
183,Jack O'Connell,0.065,,,,,14.0,,,,,
184,Enda Stevens,0.1975,0.025,,,,22.0,16.0,,,,
185,Oliver Norwood,0.126,0.0,,,0.0867,16.0,11.0,,,14.0,
186,John Fleck,0.1836,0.02,,,,31.0,17.0,,,,
