,id,playerName,eventType,shotType,situation,teamId,playerId,x,y,min,period,isOwnGoal,isBlocked,isOnTarget,isSavedOffLine,isFromInsideBox,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,box,homeTeamId,awayTeamId,homeTeamName,awayTeamName,homeScore,awayScore,matchId,matchDate,teamColor,teamColorDark,onGoalShot.x,onGoalShot.y,onGoalShot.zoomRatio,minAdded
28,2730680739,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,100.4482758624,41.31,32,FirstHalf,False,True,True,False,True,102.4396551726,38.704523811,36.21125,1.219999994,0.197994366288185,0.0,InsideBox,8197,8678,Leicester City,AFC Bournemouth,1,0,4506330,2024-10-05T14:00:00Z,#D71921,#D71921,0.415013227513228,0.322751321164021,1.0,
29,2730815555,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,85.1720588228,42.8709375,78,SecondHalf,False,True,True,False,False,87.3191176468,42.2928125,36.21125,1.219999994,0.0236962661147118,0.0,OutsideBox,8197,8678,Leicester City,AFC Bournemouth,1,0,4506330,2024-10-05T14:00:00Z,#D71921,#D71921,0.415013227513228,0.322751321164021,1.0,
30,2730843605,Antoine Semenyo,Miss,RightFoot,RegularPlay,8678,933576,96.7017543851,20.145732487,90,SecondHalf,False,False,False,False,True,,,27.53047619,2.407894725,0.0423760823905468,0.0,InsideBox,8197,8678,Leicester City,AFC Bournemouth,1,0,4506330,2024-10-05T14:00:00Z,#D71921,#D71921,2.0,0.372190410873532,0.584277933123489,0.0
31,2735682223,Antoine Semenyo,Miss,RightFoot,RegularPlay,8678,933576,80.345145632,37.94809524,16,FirstHalf,False,False,False,False,False,,,27.278333333,4.0980689704,0.033711165189743,0.0,OutsideBox,8678,9825,AFC Bournemouth,Arsenal,2,0,4506393,2024-10-19T16:30:00Z,#D71921,#D71921,2.0,0.609680481556674,0.562360525635391,
32,2735699271,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,96.5087719289,46.5931210156,33,FirstHalf,False,True,True,False,True,97.8596491223,45.051719741,32.70375,1.219999994,0.0291679687798023,0.0,InsideBox,8678,9825,AFC Bournemouth,Arsenal,2,0,4506393,2024-10-19T16:30:00Z,#D71921,#D71921,1.34292328042328,0.322751321164021,1.0,
33,2735702877,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,97.9561403504,47.9943949016,36,FirstHalf,False,False,True,False,True,104.3362068966,36.8975,37.2025,1.0979999946,0.0389508120715618,0.133756652474403,InsideBox,8678,9825,AFC Bournemouth,Arsenal,2,0,4506393,2024-10-19T16:30:00Z,#D71921,#D71921,0.152777777777778,0.290476189047619,1.0,
34,2735735673,Antoine Semenyo,Miss,RightFoot,RegularPlay,8678,933576,94.5789473669,30.304,47,SecondHalf,False,False,False,False,True,,,31.255,4.341379316,0.368799597024918,0.0,InsideBox,8678,9825,AFC Bournemouth,Arsenal,2,0,4506393,2024-10-19T16:30:00Z,#D71921,#D71921,1.42821589263029,0.677248677248677,0.589674343949908,
35,2735741569,Antoine Semenyo,AttemptSaved,RightFoot,RegularPlay,8678,933576,83.3859223304,27.698571428,52,SecondHalf,False,True,True,False,False,86.1382352936,28.707142856,35.22,1.219999994,0.0416055805981159,0.0,OutsideBox,8678,9825,AFC Bournemouth,Arsenal,2,0,4506393,2024-10-19T16:30:00Z,#D71921,#D71921,0.677248677248676,0.322751321164021,1.0,
36,2735767359,Antoine Semenyo,Miss,LeftFoot,FromCorner,8678,933576,97.3771929818,37.732,76,SecondHalf,False,False,False,False,True,,,38.872619049,2.1382105158,0.125884205102921,0.0,InsideBox,8678,9825,AFC Bournemouth,Arsenal,2,0,4506393,2024-10-19T16:30:00Z,#D71921,#D71921,0.0,0.438821605854622,0.775763498436383,
37,2739317397,Antoine Semenyo,Miss,RightFoot,FromCorner,8678,933576,91.7,43.9307006322,87,SecondHalf,False,False,False,False,True,,,18.8145222953,0.9824210478,0.0249054320156574,0.0,InsideBox,10252,8678,Aston Villa,AFC Bournemouth,1,1,4506404,2024-10-26T14:00:00Z,#D71921,#D71921,2.0,0.0646947739744752,0.248922034163605,
38,2742677773,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,90.5,34.22875,2,FirstHalf,False,False,True,False,True,101.9655172416,34.0,34.99125,0.3274736826,0.14867576956749,0.1547741740942,InsideBox,8678,8456,AFC Bournemouth,Manchester City,2,1,4506463,2024-11-02T15:00:00Z,#D71921,#D71921,0.73776455026455,0.0866332493650794,1.0,
39,2742692731,Antoine Semenyo,Goal,RightFoot,RegularPlay,8678,933576,98.8245614033,34.305,9,FirstHalf,False,False,True,False,True,,,32.3225,0.160526315,0.317600250244141,0.562039434909821,InsideBox,8678,8456,AFC Bournemouth,Manchester City,2,1,4506463,2024-11-02T15:00:00Z,#D71921,#D71921,1.44378306878307,0.0424672791005291,1.0,
40,2742696913,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,89.7,22.1775796217,11,FirstHalf,False,True,True,False,True,91.5,23.7189808963,35.44875,1.219999994,0.0239364765584469,0.0,InsideBox,8678,8456,AFC Bournemouth,Manchester City,2,1,4506463,2024-11-02T15:00:00Z,#D71921,#D71921,0.616732804232803,0.322751321164021,1.0,
41,2742823441,Antoine Semenyo,AttemptSaved,RightFoot,RegularPlay,8678,933576,95.1578947355,42.813125,60,SecondHalf,False,True,True,False,True,96.5087719289,42.235,35.75375,1.4254736772,0.0620989836752415,0.0,InsideBox,8678,8456,AFC Bournemouth,Manchester City,2,1,4506463,2024-11-02T15:00:00Z,#D71921,#D71921,0.536044973544974,0.377109438412698,1.0,
42,2746034805,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,90.7,25.8228125,11,FirstHalf,False,False,True,False,True,104.3362068966,33.46625,35.14375,0.2054736832,0.06407231092453,0.0914940908551216,InsideBox,9937,8678,Brentford,AFC Bournemouth,3,2,4506473,2024-11-09T15:00:00Z,#D71921,#D71921,0.697420634920634,0.0543581172486773,1.0,
43,2746093135,Antoine Semenyo,AttemptSaved,LeftFoot,RegularPlay,8678,933576,91.7,24.0692993678,37,FirstHalf,False,True,True,False,True,94.7719298231,25.880625,33.085,1.219999994,0.0277214981615543,0.0,InsideBox,9937,8678,Brentford,AFC Bournemouth,3,2,4506473,2024-11-09T15:00:00Z,#D71921,#D71921,1.24206349206349,0.322751321164021,1.0,
44,2746220947,Antoine Semenyo,AttemptSaved,LeftFoot,FromCorner,8678,933576,94.675438595,26.574375,80,SecondHalf,False,True,True,False,True,96.8947368413,27.950714285,32.39875,1.219999994,0.0401218868792057,0.0,InsideBox,9937,8678,Brentford,AFC Bournemouth,3,2,4506473,2024-11-09T15:00:00Z,#D71921,#D71921,1.42361111111111,0.322751321164021,1.0,
45,2746256933,Antoine Semenyo,AttemptSaved,LeftFoot,SetPiece,8678,933576,97.4736842099,48.2746496788,90,SecondHalf,False,True,True,False,True,100.5431034486,42.92875,34.915,1.219999994,0.00973162706941366,0.0,InsideBox,9937,8678,Brentford,AFC Bournemouth,3,2,4506473,2024-11-09T15:00:00Z,#D71921,#D71921,0.757936507936506,0.322751321164021,1.0,7.0
46,2746257635,Antoine Semenyo,AttemptSaved,RightFoot,RegularPlay,8678,933576,90.5,36.44,90,SecondHalf,False,True,True,False,True,93.9,35.90625,34.1525,1.219999994,0.139041036367416,0.0,InsideBox,9937,8678,Brentford,AFC Bournemouth,3,2,4506473,2024-11-09T15:00:00Z,#D71921,#D71921,0.959656084656084,0.322751321164021,1.0,8.0
47,2750485849,Antoine Semenyo,Miss,RightFoot,RegularPlay,8678,933576,84.5121359224,30.28,2,FirstHalf,False,False,False,False,False,,,39.208809525,0.3595789456,0.0579266101121902,0.0,OutsideBox,8678,10204,AFC Bournemouth,Brighton & Hove Albion,1,2,4506533,2024-11-23T15:00:00Z,#D71921,#D71921,0.0,0.0690328459649328,0.725693650700349,
48,2750509223,Antoine Semenyo,Miss,Header,RegularPlay,8678,933576,97.7631578942,33.00875,12,FirstHalf,False,False,False,False,True,,,49.956178342,0.4430526294,0.115867212414742,0.0,InsideBox,8678,10204,AFC Bournemouth,Brighton & Hove Albion,1,2,4506533,2024-11-23T15:00:00Z,#D71921,#D71921,0.0,0.0277668386441754,0.236898831222652,
