,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
12,62,Adam Armstrong,Southampton,0.08,0.0,Blocked,17.0,Right Foot,Volley,William Smallbone,Shot,,
13,63,Flynn Downes,Southampton,0.11,0.0,Blocked,14.0,Right Foot,,Adam Armstrong,Pass (Live),William Smallbone,Pass (Live)
14,63,Joe Aribo,Southampton,0.05,0.0,Blocked,19.0,Left Foot,,Flynn Downes,Shot,,
15,69,Kyle Walker-Peters,Southampton,0.02,0.0,Blocked,33.0,Right Foot,Deflected,Flynn Downes,Pass (Live),Samuel Edozie,Pass (Live)
16,78,Kyle Walker-Peters,Southampton,0.04,0.0,Off Target,17.0,Right Foot,,Jan Bednarek,Pass (Live),Jack Stephens,Pass (Live)
17,78,Adam Armstrong,Southampton,0.08,0.0,Blocked,16.0,Right Foot,,Flynn Downes,Pass (Live),Kyle Walker-Peters,Shot
18,86,Samuel Amo-Ameyaw,Southampton,0.02,0.0,Blocked,21.0,Left Foot,,Tyler Dibling,Pass (Live),William Smallbone,Pass (Live)
19,87,Carlos Alcaraz,Southampton,0.07,0.21,Saved,10.0,Head,,Samuel Amo-Ameyaw,Pass (Live),Tyler Dibling,Pass (Live)
20,90,Cameron Archer,Southampton,0.1,0.0,Off Target,20.0,Right Foot,,Samuel Amo-Ameyaw,Fouled,William Smallbone,Pass (Live)
21,90+3,William Smallbone,Southampton,0.04,0.0,Blocked,27.0,Right Foot,Free kick,Samuel Edozie,Fouled,Carlos Alcaraz,Pass (Live)
22,90+7,Cameron Archer,Southampton,0.1,0.14,Saved,10.0,Head,,Samuel Edozie,Pass (Live),Flynn Downes,Pass (Live)
0,4.0,Jack Harrison,Everton,0.03,0.05,Saved,19.0,Left Foot,,James Tarkowski,Pass (Live),Michael Keane,Pass (Live)
1,9.0,João Pedro,Brighton,0.03,0.0,Woodwork,26.0,Right Foot,,Danny Welbeck,Pass (Live),Mats Wieffer,Pass (Live)
2,12.0,Jack Harrison,Everton,0.05,0.0,Off Target,15.0,Left Foot,,Dominic Calvert-Lewin,Pass (Live),Ashley Young,Pass (Live)
3,14.0,James Tarkowski,Everton,0.01,0.0,Off Target,12.0,Head,,Dwight McNeil,Pass (Dead),Tim Iroegbunam,Fouled
4,15.0,Lewis Dunk,Brighton,0.07,0.0,Off Target,10.0,Head,,James Milner,Pass (Dead),James Milner,Pass (Live)
5,17.0,Kaoru Mitoma,Brighton,0.03,0.0,Blocked,14.0,Right Foot,,Yankuba Minteh,Pass (Live),James Milner,Pass (Live)
6,20.0,Tim Iroegbunam,Everton,0.06,0.0,Off Target,16.0,Right Foot,,Tim Iroegbunam,Interception,,
7,26.0,Kaoru Mitoma,Brighton,0.81,0.96,Goal,4.0,Right Foot,,Yankuba Minteh,Pass (Live),Yankuba Minteh,Take-On
8,28.0,Danny Welbeck,Brighton,0.13,0.0,Off Target,14.0,Left Foot,,Danny Welbeck,Take-On,Yankuba Minteh,Pass (Live)
9,29.0,Idrissa Gana Gueye,Everton,0.02,0.0,Off Target,28.0,Right Foot,Volley,Abdoulaye Doucouré,Pass (Live),Tim Iroegbunam,Pass (Live)
10,37.0,Tim Iroegbunam,Everton,0.08,0.0,Blocked,22.0,Left Foot,,Idrissa Gana Gueye,Pass (Live),,
11,,,,,,,,,,,,,
12,51.0,Abdoulaye Doucouré,Everton,0.14,0.0,Blocked,8.0,Head,,Jack Harrison,Pass (Live),Michael Keane,Pass (Live)
13,56.0,Danny Welbeck,Brighton,0.07,0.48,Goal,18.0,Left Foot,,Mats Wieffer,Pass (Live),,
14,59.0,Jack Harrison,Everton,0.06,0.0,Blocked,14.0,Left Foot,,Ashley Young,Pass (Live),Vitaliy Mykolenko,Pass (Live)
15,59.0,Michael Keane,Everton,0.01,0.0,Blocked,32.0,Right Foot,Volley,Jack Harrison,Shot,,
16,63.0,Kaoru Mitoma,Brighton,0.1,0.39,Saved,9.0,Right Foot,,Kaoru Mitoma,Take-On,João Pedro,Pass (Live)
