,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
20,88.0,Alex Iwobi,Everton,0.27,0.85,Saved,14.0,Left Foot,,Richarlison,Pass (Live),Lucas Digne,Pass (Live)
0,10,Jamie Vardy,Leicester City,0.05,0.37,Saved,15.0,Left Foot,,Ayoze Pérez,Pass (Live),Wilfred Ndidi,Pass (Live)
1,16,Jamie Vardy,Leicester City,0.03,,Off Target,11.0,Right Foot,,Daniel Amartey,Pass (Live),Wilfred Ndidi,Pass (Live)
2,18,Adama Traoré,Wolves,0.02,,Blocked,26.0,Right Foot,,Adama Traoré,Tackle,,
3,24,Rúben Neves,Wolves,0.01,,Off Target,30.0,Right Foot,,Raúl Jiménez,Pass (Live),Adama Traoré,Pass (Live)
4,26,Jamie Vardy,Leicester City,0.05,0.03,Saved,24.0,Left Foot,,Ayoze Pérez,Pass (Live),Daniel Amartey,Pass (Live)
5,34,Jamie Vardy,Leicester City,0.06,,Off Target,14.0,Right Foot,Volley,James Maddison,Pass (Live),,
6,36,Adama Traoré,Wolves,0.45,,Off Target,17.0,Right Foot,,João Moutinho,Pass (Live),,
7,41,Jamie Vardy,Leicester City,0.08,0.16,Goal,8.0,Left Foot,,Ricardo Pereira,Pass (Live),Ricardo Pereira,Take-On
8,45+1,Harvey Barnes,Leicester City,0.08,0.32,Saved,12.0,Right Foot,,Jamie Vardy,Pass (Live),Harvey Barnes,Pass (Live)
9,45+1,Youri Tielemans,Leicester City,0.02,0.3,Saved,32.0,Right Foot,,Ayoze Pérez,Pass (Live),James Maddison,Pass (Live)
10,,,,,,,,,,,,,
11,47,Adama Traoré,Wolves,0.07,,Blocked,17.0,Left Foot,,Adama Traoré,Take-On,Adama Traoré,Take-On
